Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
238,Carlos Cuesta,coCOL,DF,Vasco da Gama,25,1999,12.1,18,12,14,3,1,7,10,70.0,3,10,6,4,13,31,62,1,Matches
239,Cleiton,brBRA,DF,Flamengo,21,2003,0.9,3,2,1,2,0,1,1,100.0,0,2,2,0,2,5,7,0,Matches
240,Clayton,brBRA,DF,Internacional,24,2000,8.5,10,6,6,4,0,3,6,50.0,3,18,11,7,10,20,45,1,Matches
241,Claudinho,brBRA,DF,Vitória,24,2000,10.0,21,10,14,7,0,14,25,56.0,11,13,5,8,10,31,26,1,Matches
242,Cipriano,brBRA,DF,Juventude,22,2002,2.1,2,1,1,1,0,1,3,33.3,2,3,1,2,4,6,8,0,Matches
243,Chico,brBRA,DF,Sport Recife,26,1998,11.8,19,11,12,7,0,14,20,70.0,6,13,10,3,12,31,93,2,Matches
244,Julio Cesar,brBRA,DF,Fluminense,18,2006,2.0,3,2,2,1,0,2,2,100.0,0,0,0,0,4,7,5,0,Matches
245,Murilo Cerqueira,brBRA,DF,Palmeiras,27,1997,18.4,28,18,10,17,1,12,24,50.0,12,29,11,18,17,45,86,1,Matches
246,Caue,brBRA,DF,RB Bragantino,18,2006,0.5,2,2,2,0,0,1,2,50.0,1,0,0,0,1,3,1,0,Matches
247,Antonio Carlos,brBRA,DF,Sport Recife,31,1993,3.0,3,2,3,0,0,0,3,0.0,3,0,0,0,1,4,21,0,Matches
248,Igor Cariús,brBRA,DF,Sport Recife,31,1993,19.2,47,29,27,17,3,30,48,62.5,18,32,6,26,27,74,85,0,Matches
249,Juninho Capixaba,brBRA,DF,RB Bragantino,27,1997,21.9,50,35,25,19,6,19,45,42.2,26,35,11,24,21,71,81,3,Matches
250,Luan Cândido,brBRA,DF,Sport Recife,23,2001,14.6,13,6,4,7,2,7,15,46.7,8,33,13,20,17,30,81,0,Matches
251,Camutanga,brBRA,DF,Vitória,31,1993,13.8,15,10,9,6,0,7,11,63.6,4,12,4,8,13,28,92,0,Matches
252,Cadu,brBRA,DF,Atlético Mineiro,20,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
253,Raúl Cáceres,pyPAR,DF,Vitória,33,1991,18.7,32,21,21,6,5,17,36,47.2,19,15,4,11,9,41,84,0,Matches
254,Cacá,brBRA,DF,Corinthians,25,1999,15.6,24,20,14,9,1,20,26,76.9,6,15,9,6,10,34,60,1,Matches
255,Fabrício Bruno,brBRA,DF,Cruzeiro,28,1996,32.8,46,36,29,15,2,25,34,73.5,9,44,26,18,24,70,231,2,Matches
256,Emanuel Brítez,arARG,DF,Fortaleza,32,1992,17.7,24,14,15,8,1,15,22,68.2,7,16,11,5,20,44,99,0,Matches
257,Marllon Borges,brBRA,DF,Ceará,32,1992,23.1,25,11,18,6,1,10,19,52.6,9,18,17,1,12,37,149,2,Matches
258,Daniel Borges,brBRA,DF,Mirassol,31,1993,10.0,14,8,7,4,3,5,14,35.7,9,11,3,8,10,24,33,1,Matches
259,Matheus Bidu,brBRA,DF,Corinthians,25,1999,21.8,35,27,18,10,7,19,33,57.6,14,28,7,21,23,58,44,2,Matches
260,Bernardo,brBRA,DF,Juventude,19,2005,0.5,2,2,0,0,2,1,1,100.0,0,1,0,1,1,3,0,0,Matches
261,Alexandro Bernabei,arARG,DF,Internacional,24,2000,28.7,78,44,33,31,14,44,95,46.3,51,36,6,30,37,115,71,1,Matches
262,Luis Benedetti,brBRA,DF,Palmeiras,18,2006,4.2,5,2,3,2,0,2,2,100.0,0,4,3,1,6,11,26,0,Matches
263,José Luis Rodríguez Bebanz,uyURU,DF,Vasco da Gama,27,1997,16.1,21,10,10,7,4,14,20,70.0,6,17,8,9,12,33,55,0,Matches
264,Alexander Barboza,arARG,DF,Botafogo (RJ),29,1995,23.9,46,37,38,7,1,32,45,71.1,13,32,15,17,22,68,166,2,Matches
265,Diogo Barbosa,brBRA,DF,Fortaleza,32,1992,13.8,31,18,19,11,1,22,38,57.9,16,13,2,11,11,42,61,0,Matches
266,Fabián Balbuena,pyPAR,DF,Grêmio,33,1991,2.5,3,2,3,0,0,1,3,33.3,2,0,0,0,4,7,24,0,Matches
267,Matheus Bahia,brBRA,DF,Ceará,25,1999,27.4,46,27,33,9,4,22,41,53.7,19,22,7,15,21,67,86,0,Matches
268,Gabriel Bahia,brBRA,DF,Botafogo (RJ),26,1998,2.6,4,2,2,2,0,4,4,100.0,0,2,2,0,2,6,16,1,Matches
269,Gastón Ávila,arARG,DF,Fortaleza,23,2001,25.8,62,42,37,22,3,44,72,61.1,28,32,25,7,25,87,120,1,Matches
270,Santiago Arias,coCOL,DF,Bahia,33,1992,15.8,20,15,10,8,2,10,20,50.0,10,10,6,4,18,38,50,2,Matches
271,Robert Arboleda,ecECU,DF,São Paulo,33,1991,22.9,34,21,26,8,0,17,24,70.8,7,43,29,14,17,51,154,1,Matches
272,Guilherme Arana,brBRA,DF,Atlético Mineiro,27,1997,19.4,22,17,11,11,0,8,16,50.0,8,17,7,10,17,39,45,2,Matches
273,Fabrizio Angileri,arARG,DF,Corinthians,30,1994,18.2,35,23,25,8,2,22,33,66.7,11,26,14,12,10,45,90,1,Matches
274,Wilker Ángel,veVEN,DF,Juventude,31,1993,15.8,13,7,6,6,1,8,11,72.7,3,35,33,2,12,25,105,3,Matches
275,Júnior Alonso,pyPAR,DF,Atlético Mineiro,31,1993,29.0,33,18,19,12,2,20,31,64.5,11,20,14,6,32,65,132,0,Matches
276,Matheus Alexandre,brBRA,DF,Sport Recife,25,1999,19.8,51,33,27,17,7,26,40,65.0,14,24,6,18,33,84,59,0,Matches
277,Braian Aguirre,arARG,DF,Internacional,24,2000,26.5,69,43,29,31,9,47,73,64.4,26,27,9,18,31,100,98,3,Matches
278,Abner,brBRA,DF,Juventude,20,2004,14.6,19,11,13,4,2,11,29,37.9,18,23,13,10,18,37,98,2,Matches
