"Jogador","Equipa","Equipa dentro de um período de tempo seleccionado","Posição","Idade","Valor de mercado","Contrato termina","Partidas jogadas","Minutos jogados:","Golos","Golos esperados","Assistências","Assistências esperadas","Duelos/90","Duelos ganhos, %","Naturalidade","País de nacionalidade","Pé","Altura","Peso","Emprestado","Ações defensivas com êxito/90","Duelos defensivos/90","Duelos defensivos ganhos, %","Duelos aérios/90...25","Duelos aéreos ganhos, %","Cortes/90","Cortes de carrinho ajust. à posse","Remates intercetados/90","Interseções/90","Interceções ajust. à posse","Faltas/90","Cartões amarelos","Cartões amarelos/90","Cartões vermelhos","Cartões vermelhos/90","Acções atacantes com sucesso/90","Golos/90","Golos sem ser por penálti","Golos sem ser por penálti/90","Golos esperados/90","Golos de cabeça","Golos de cabeça/90","Remate","Remates/90","Remates à baliza, %","Golos marcados, %","Assistências/90","Cruzamentos/90","Cruzamentos certos, %","Cruzamentos do flanco esquerdo/90","Cruzamentos precisos do flanco esquerdo, %","Cruzamentos do flanco direito/90","Cruzamentos precisos do flanco direito, %","Cruzamentos para a área de baliza/90","Dribles/90","Dribles com sucesso, %","Duelos ofensivos/90","Duelos ofensivos ganhos, %","Toques na área/90","Corridas progressivas/90","Acelerações/90","Passes recebidos/90","Passes longos recebidos/90","Faltas sofridas/90","Passes/90","Passes certos, %","Passes para a frente/90","Passes para a frente certos, %","Passes para trás/90","Passes para trás certos, %","Passes laterais/90","Passes laterais certos, %","Passes curtos / médios /90","Passes curtos / médios precisos, %","Passes longos/90","Passes longos certos, %","Comprimento médio de passes, m","Comprimento médio de passes longos, m","Assistências esperadas/90","Assistências para remate/90","Segundas assistências/90","Terceiras assistências/90","Passes inteligentes/90","Passes inteligentes certos, %","Passes chave/90","Passes para terço final/90","Passes certos para terço final, %","Passes para a área de penálti/90","Passes precisos para a área de penálti, %","Passes em profundidade/90","Passes em profundidade certos, %","Receção de passes em profundidade/90","Cruzamentos em profundidade recebidos/90","Passes progressivos/90","Passes progressivos certos, %","Golos sofridos","Golos sofridos/90","Remates sofridos","Remates sofridos/90","Jogos sem sofrer golos","Defesas, %","Golos sofridos esperados","Golos sofridos esperados/90","Golos expectáveis defendidos","Golos expectáveis defendidos por 90´","Passes para trás recebidos pelo guarda-redes/90","Saídas/90","Duelos aérios/90...109","Livres/90","Livres directos/90","Pontapés livres directos à baliza, %","Cantos/90","Penaltis marcados","Conversão de penaltis, %"
"Agustín Rogel","Hertha BSC","Internacional","RCB",28,6e+05,"2026-06-30",5,506,0,0.25,0,0,9.6,61.11,"Uruguay","Uruguay, Italy","direito",191,84,"sim",6.23,4.62,65.38,3.56,60,0.18,0.29,0.89,3.02,4.9,1.25,0,0,0,0,0,0,0,0,0.04,0,0,2,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.36,50,0.53,0.36,0,30.06,0.36,0.18,41.44,89.7,11.74,78.79,2.13,100,23.3,95.42,38.6,92.63,2.85,50,20.67,40.26,0,0,0,0,0.18,0,0,3.2,66.67,0.71,0,0.36,0,0,0,5.16,51.72,0,NA,0,NA,0,0,0,0,NA,NA,1.78,NA,NA,0,0,0,0,0,0
"Luisão","Santos","Santos","RCB, RB",22,0,"2028-12-31",6,475,0,0.02,0,0.03,12.32,52.31,"Brazil","Brazil","direito",192,74,"sim",8.53,7.01,54.05,3.03,43.75,0,0,0.19,4.74,6.3,0.57,2,0.38,0,0,0.57,0,0,0,0,0,0,2,0.38,0,0,0,0.38,100,0,0,0.19,100,0,0.19,100,1.52,62.5,0.38,0.19,0,21.6,0.57,0.76,34.11,83.33,16.86,73.03,2.46,100,9.66,96.08,29.18,88.31,4.55,50,23.61,43.68,0.01,0.19,0,0,0,0,0,3.6,68.42,0.38,100,0,0,0.19,0.38,6.82,72.22,0,NA,0,NA,0,0,0,0,NA,NA,1.33,NA,NA,0,0,0,0,0,0
"Fernando","Internacional","Internacional","CB, LDMF, DMF",37,2e+06,"2025-12-31",6,473,0,0.3,0,0,14.84,53.85,"Brazil","Brazil, Portugal","direito",183,76,"sim",8.56,5.52,65.52,3.04,56.25,0.19,0.27,0.76,4.76,6.64,0.38,0,0,0,0,0.95,0,0,0,0.06,0,0,3,0.57,100,0,0,0,0,0,0,0,0,0,0.95,20,3.04,25,0.76,2.85,0.57,37.29,0.19,0.38,51.95,91.21,14.08,79.73,4.76,96,23.4,95.12,50.23,91.67,1.71,77.78,18.24,19.19,0,0.38,0.19,0,0.19,100,0,6.85,80.56,0.57,100,0.38,100,0.57,0,5.9,83.87,0,NA,0,NA,0,0,0,0,NA,NA,1.71,NA,NA,0,0,0,0,0,0
"Kanu","Bahia","Bahia","RCB, LCB",28,3500000,"2027-12-31",6,473,0,0,0,0,7.04,67.57,"Brazil","Brazil","direito",186,80,"sim",7.23,2.09,72.73,2.85,60,0.38,0.5,0.76,5.33,7,0.57,0,0,1,0.19,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,100,1.14,83.33,0.57,0.76,0,38.82,0,0.76,50.61,95.11,15.98,90.48,3.04,93.75,26.64,98.57,47,97.17,3.62,68.42,18.66,38.17,0,0,0,0,0,0,0,4.76,88,0.19,100,0.38,50,0.19,0,6.09,71.88,0,NA,0,NA,0,0,0,0,NA,NA,1.71,NA,NA,0,0,0,0,0,0
"Lucas Cunha","Sport Recife","Sport Recife","RCB, LCB",28,2500000,"2026-12-31",6,472,0,0,0,0,8.77,45.65,"Brazil","Brazil, Portugal","direito",186,77,"sim",6.1,4,42.86,2.29,41.67,0.19,0.24,0.95,4.19,5.28,0.95,1,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,25,0,0.57,0,31.65,0.38,0.38,42.52,87.44,17.92,74.47,2.29,100,18.69,98.98,38.14,93,4.39,39.13,17.23,33.14,0,0,0,0,0,0,0,6.1,71.88,0.95,0,0.57,0,0,0,6.67,71.43,0,NA,0,NA,0,0,0,0,NA,NA,1.53,NA,NA,0,0,0,0,0,0
"David Luiz","Pafos","Fortaleza","CB, RCB",38,4e+05,"2027-05-31",7,449,0,0.24,0,0,12.43,66.13,"Brazil","Brazil, Portugal","direito",189,84,"sim",9.22,4.81,70.83,4.01,75,0.2,0.27,1,5.61,7.64,1.2,2,0.4,0,0,0.2,0,0,0,0.05,0,0,5,1,20,0,0,0,0,0,0,0,0,0,0,0,1.6,50,0.6,1.4,0,31.47,0.4,0.4,44.9,91.96,14.43,75,1.8,100,25.06,100,39.69,95.96,5.21,61.54,22.62,37.63,0,0,0,0,0.2,0,0,5.61,60.71,0.4,50,1,0,0.2,0,6.21,90.32,0,NA,0,NA,0,0,0,0,NA,NA,1,NA,NA,0.4,0.4,0,0,0,0
"A. Duarte","Santos","Santos","RCB, LCB",25,3500000,"2027-06-30",5,447,0,0.22,0,0.03,11.48,63.16,"Paraguay","Paraguay","direito",186,76,"sim",8.46,5.23,76.92,3.22,62.5,0.4,0.64,0.6,4.03,6.38,1.01,1,0.2,0,0,0.4,0,0,0,0.04,0,0,2,0.4,100,0,0,0.6,0,0,0,0.6,0,0.2,0,0,1.61,50,0.6,0.81,0,30.81,0.2,0.6,43.69,88.94,17.52,79.31,1.81,88.89,20.34,96.04,39.06,94.33,4.03,50,20.72,39.33,0.01,0.2,0,0,0,0,0,6.24,74.19,1.21,33.33,0.2,0,0.4,0,6.04,80,0,NA,0,NA,0,0,0,0,NA,NA,1.41,NA,NA,0,0,0,0,0,0
"Rafael Tolói","São Paulo","São Paulo","RCB, CB, LCB",35,2500000,"2026-12-31",6,446,0,0,0,0,11.3,66.07,"Brazil","Brazil, Italy","direito",185,75,"sim",9.48,6.05,76.67,2.83,57.14,0,0,0.61,4.84,6.49,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,60,0.2,0.61,0,30.07,0.4,0.4,46.41,83.04,21.59,71.96,1.82,88.89,19.98,94.95,39.75,88.83,6.66,48.48,21.04,34.15,0,0,0,0,0,0,0,5.85,51.72,1.21,0,0.61,0,0,0,9.48,65.96,0,NA,0,NA,0,0,0,0,NA,NA,0.61,NA,NA,0,0,0,0,0,0
"Adriano Martins","Atlético GO","Juventude","LCB, RCB",28,5e+05,"2026-12-31",5,406,0,0.41,0,0,11.08,62,"Brazil","Brazil","direito",193,87,"sim",8.42,2.88,76.92,5.99,55.56,0,0,0.44,6.21,8,0.67,1,0.22,0,0,0,0,0,0,0.09,0,0,3,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0.22,100,0.89,0,0,27.93,0.22,0.22,39.9,92.22,15.96,83.33,3.1,100,17.29,98.72,37.24,94.64,2.66,58.33,19.66,25.29,0,0,0.22,0,0,0,0,1.55,85.71,0,0,0,0,0,0,5.32,62.5,0,NA,0,NA,0,0,0,0,NA,NA,1.33,NA,NA,0,0,0,0,0,0
"Gabriel","Mirassol","Mirassol","RCB",22,0,"2027-12-31",4,400,0,0.6,0,0,11.7,65.38,"Brazil","Brazil, Poland","direito",185,80,"sim",8.1,3.15,71.43,4.73,61.9,0.68,0.92,0.45,5.18,7.04,0.45,0,0,0,0,0.68,0,0,0,0.14,0,0,3,0.68,33.33,0,0,0.23,100,0.23,100,0,0,0,0.23,100,2.93,61.54,0.9,1.35,0.23,24.98,0.23,0.68,34.88,90.97,13.95,85.48,2.93,100,13.5,98.33,31.05,94.93,3.6,56.25,19.61,34.51,0,0,0,0,0,0,0,3.83,64.71,0.45,50,0.23,0,0.23,0.23,5.85,69.23,0,NA,0,NA,0,0,0,0,NA,NA,2.48,NA,NA,0,0,0,0,0,0
