"Jogador","Equipa","Equipa dentro de um período de tempo seleccionado","Posição","Idade","Valor de mercado","Contrato termina","Partidas jogadas","Minutos jogados:","Golos","Golos esperados","Assistências","Assistências esperadas","Duelos/90","Duelos ganhos, %","Naturalidade","País de nacionalidade","Pé","Altura","Peso","Emprestado","Ações defensivas com êxito/90","Duelos defensivos/90","Duelos defensivos ganhos, %","Duelos aérios/90...25","Duelos aéreos ganhos, %","Cortes/90","Cortes de carrinho ajust. à posse","Remates intercetados/90","Interseções/90","Interceções ajust. à posse","Faltas/90","Cartões amarelos","Cartões amarelos/90","Cartões vermelhos","Cartões vermelhos/90","Acções atacantes com sucesso/90","Golos/90","Golos sem ser por penálti","Golos sem ser por penálti/90","Golos esperados/90","Golos de cabeça","Golos de cabeça/90","Remate","Remates/90","Remates à baliza, %","Golos marcados, %","Assistências/90","Cruzamentos/90","Cruzamentos certos, %","Cruzamentos do flanco esquerdo/90","Cruzamentos precisos do flanco esquerdo, %","Cruzamentos do flanco direito/90","Cruzamentos precisos do flanco direito, %","Cruzamentos para a área de baliza/90","Dribles/90","Dribles com sucesso, %","Duelos ofensivos/90","Duelos ofensivos ganhos, %","Toques na área/90","Corridas progressivas/90","Acelerações/90","Passes recebidos/90","Passes longos recebidos/90","Faltas sofridas/90","Passes/90","Passes certos, %","Passes para a frente/90","Passes para a frente certos, %","Passes para trás/90","Passes para trás certos, %","Passes laterais/90","Passes laterais certos, %","Passes curtos / médios /90","Passes curtos / médios precisos, %","Passes longos/90","Passes longos certos, %","Comprimento médio de passes, m","Comprimento médio de passes longos, m","Assistências esperadas/90","Assistências para remate/90","Segundas assistências/90","Terceiras assistências/90","Passes inteligentes/90","Passes inteligentes certos, %","Passes chave/90","Passes para terço final/90","Passes certos para terço final, %","Passes para a área de penálti/90","Passes precisos para a área de penálti, %","Passes em profundidade/90","Passes em profundidade certos, %","Receção de passes em profundidade/90","Cruzamentos em profundidade recebidos/90","Passes progressivos/90","Passes progressivos certos, %","Golos sofridos","Golos sofridos/90","Remates sofridos","Remates sofridos/90","Jogos sem sofrer golos","Defesas, %","Golos sofridos esperados","Golos sofridos esperados/90","Golos expectáveis defendidos","Golos expectáveis defendidos por 90´","Passes para trás recebidos pelo guarda-redes/90","Saídas/90","Duelos aérios/90...109","Livres/90","Livres directos/90","Pontapés livres directos à baliza, %","Cantos/90","Penaltis marcados","Conversão de penaltis, %"
"Igor Rabello","Fluminense","Fluminense","RCB, LCB",30,2e+06,"2025-12-31",8,393,0,0.15,0,0,12.14,71.7,"Brazil","Brazil","direito",190,90,"sim",6.64,4.81,76.19,4.58,70,0,0,0,2.98,4.33,1.6,1,0.23,1,0.23,0.23,0,0,0,0.03,0,0,2,0.46,0,0,0,0,0,0,0,0,0,0,0.23,100,0.46,50,0.46,0.23,0,32.06,0.23,0,44.2,89.12,15.57,79.41,3.89,94.12,20.15,95.45,39.39,93.02,4.81,57.14,16.41,18.65,0,0,0,0,0,0,0,2.98,84.62,0.23,100,0.23,100,0.23,0,5.73,60,0,NA,0,NA,0,0,0,0,NA,NA,3.44,NA,NA,0,0,0,0,0,0
"Manoel","Fluminense","Fluminense","LCB, RCB",35,3e+05,"2025-12-31",5,382,0,0.18,0,0,7.54,37.5,"Brazil","Brazil","direito",181,82,"sim",5.42,3.06,61.54,2.83,8.33,0,0,0.71,3.53,4.59,0.24,0,0,0,0,0.47,0,0,0,0.04,0,0,2,0.47,0,0,0,0,0,0,0,0,0,0,0.47,100,0.94,50,0.47,0.24,0,29.45,0,0.47,42.41,90,12.02,80.39,1.65,85.71,25.45,94.44,40.29,91.81,2.12,55.56,20.02,25.81,0,0,0,0,0,0,0,3.3,57.14,0,0,0,0,0,0,4.95,52.38,0,NA,0,NA,0,0,0,0,NA,NA,1.18,NA,NA,0,0,0,0,0,0
"Eduardo Santos","Red Bull Bragantino","Red Bull Bragantino","LCB, RCB, CB",28,9e+05,"2028-12-29",8,367,0,0,0,0.19,12.26,62,"Brazil","Brazil","direito",196,90,"sim",12.02,5.4,63.64,2.45,70,0.74,0.86,0.74,7.85,9.14,0.49,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0.25,100,0,0,0.25,100,0,0.74,66.67,2.45,30,0.25,0.49,0,31.63,0.25,0.49,50.76,91.79,17.17,81.43,2.94,100,26.98,97.27,44.88,95.63,5.64,60.87,20.38,24.25,0.05,0.25,0,0,0,0,0,2.7,72.73,0.25,0,0.25,0,0,0,6.13,56,0,NA,0,NA,0,0,0,0,NA,NA,2.45,NA,NA,0,0,0,0,0,0
"Thiago Santos","Fluminense","Fluminense","LDMF, DMF, LCB",36,250000,"2026-12-31",10,350,0,0.07,0,0.02,18,54.29,"Brazil","Brazil","direito",181,78,"sim",8.74,8.23,62.5,4.89,57.89,0,0,0.26,3.6,4.94,2.31,2,0.51,0,0,0.26,0,0,0,0.02,0,0,1,0.26,0,0,0,0,0,0,0,0,0,0,0.26,100,2.83,36.36,0.77,0.51,0,20.83,0.51,0.51,33.43,82.31,12.09,61.7,3.6,100,12.34,95.83,28.03,87.16,5.4,57.14,19.8,25.87,0,0.26,0,0,0,0,0,5.91,69.57,0.26,0,0.51,50,0,0,6.94,62.96,0,NA,0,NA,0,0,0,0,NA,NA,0.51,NA,NA,0,0,0,0,0,0
"Luiz Gustavo","Bahia","Vasco da Gama","LCB",19,0,"2030-12-31",5,330,0,0,0,0,10.36,57.89,"Brazil","Brazil","esquerdo",188,0,"sim",7.36,5.18,68.42,2.45,44.44,0.82,1.18,0.55,3,4.34,1.09,3,0.82,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0.27,100,0.27,100,0,0,0,0.27,100,1.09,50,0,0.27,0,34.09,0.27,0.55,47.73,88,18.27,74.63,3.55,100,22.36,96.34,43.09,91.77,4.36,50,19.76,37.98,0,0,0,0,0,0,0,5.18,78.95,0.27,100,0,0,0,0.27,7.64,57.14,0,NA,0,NA,0,0,0,0,NA,NA,2.45,NA,NA,0,0,0,0,0,0
"Benedetti","Palmeiras","Palmeiras","LCB, CB, RCB",19,0,"2029-12-31",4,324,1,0.68,0,0.08,11.39,73.17,"Brazil","Brazil","unknown",0,0,"sim",6.67,3.33,83.33,4.17,80,0,0,0.28,3.89,5.75,0.56,0,0,0,0,0.83,0.28,1,0.28,0.19,1,0.28,3,0.83,33.33,33.333,0,0.56,100,0.56,100,0,0,0,0,0,0.83,0,0.83,0.28,0,23.06,0.28,0.28,34.72,92.8,13.33,85.42,1.67,100,17.22,98.39,31.39,93.81,2.78,80,15.41,24.71,0.02,0.28,0,0,0,0,0,3.89,78.57,1.11,100,0,0,0.28,0.56,5.83,76.19,0,NA,0,NA,0,0,0,0,NA,NA,1.39,NA,NA,0,0,0,0,0,0
"Antônio Carlos","Houston Dynamo","Sport Recife","CB",32,1800000,"2026-12-31",3,310,0,0,0,0,12.19,66.67,"Brazil","Brazil","direito",191,79,"sim",7.84,4.65,68.75,5.23,61.11,0,0,0.29,4.65,6.15,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,60,0,0.87,0,20.61,0.29,0.29,31.94,93.64,7.26,84,1.74,100,20.32,97.14,30.48,96.19,1.45,40,20.48,38.15,0,0,0,0,0,0,0,1.45,40,0,0,0,0,0,0,2.03,57.14,0,NA,0,NA,0,0,0,0,NA,NA,0.87,NA,NA,0,0,0,0,0,0
"Éder","Ceará","Ceará","LCB",30,8e+05,NA,3,305,0,0.38,0,0,6.2,80.95,"Brazil","Brazil","direito",184,82,"sim",4.72,1.77,66.67,3.84,84.62,0,0,0.3,3.54,4,0.89,0,0,0,0,0.59,0,0,0,0.11,0,0,3,0.89,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,24.49,1.48,0.3,35.41,87.5,11.51,71.79,0.89,100,18.89,93.75,29.51,96,5.9,45,22.9,39.54,0,0,0,0,0,0,0,1.77,66.67,0.3,0,0.89,66.67,0,0,5.61,52.63,0,NA,0,NA,0,0,0,0,NA,NA,0.59,NA,NA,0,0,0,0,0,0
"Titi","Goiás","Fortaleza","LCB",37,2e+05,NA,3,301,0,0,0,0,13.75,65.22,"Brazil","Brazil, Italy","esquerdo",188,83,"sim",9.57,7.18,75,3.29,54.55,0,0,0.3,4.19,4.2,1.2,1,0.3,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,40,0,0.3,0,19.44,0.3,0.3,27.51,77.17,10.76,52.78,1.79,83.33,13.16,97.73,23.32,85.9,4.19,28.57,22.62,41.06,0,0,0,0,0,0,0,2.09,28.57,0,0,0,0,0,0,5.08,47.06,0,NA,0,NA,0,0,0,0,NA,NA,1.5,NA,NA,0,0,0,0,0,0
"M. Lemos","Vasco da Gama","Vasco da Gama","LCB, RCB",29,2500000,"2025-12-31",4,270,0,0.01,0,0,7.33,77.27,"Uruguay","Uruguay","direito",187,85,"sim",8.67,2.67,75,2.33,85.71,0.33,0.42,1.67,6.33,8.03,0.33,0,0,0,0,0,0,0,0,0,0,0,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.33,100,0,0.67,0,32.33,0.67,0,44.67,91.79,14,83.33,4.67,100,22.67,95.59,40,93.33,4.67,78.57,21.71,37.01,0,0,0,0,0,0,0,3.67,81.82,0,0,0.33,0,0,0,6,66.67,0,NA,0,NA,0,0,0,0,NA,NA,2.67,NA,NA,0,0,0,0,0,0
"Felipe Negrucci","São Paulo U20","São Paulo","RCB, RB, RCMF",21,0,"2026-06-30",5,267,0,0,0,0,15.84,46.81,"Brazil","Brazil","direito",179,73,"sim",10.11,6.74,65,4.38,30.77,0,0,1.35,5.73,6.8,0.67,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,50,3.37,20,0,0.67,0,27.3,0.67,0.67,37.42,84.68,16.18,68.75,4.38,92.31,12.13,97.22,33.37,90.91,4.04,33.33,18.24,27.04,0,0,0.34,0,0,0,0,5.73,52.94,0.34,100,0.34,0,0.34,0,5.73,76.47,0,NA,0,NA,0,0,0,0,NA,NA,0.67,NA,NA,0.34,0,0,0,0,0
"F. Balbuena","Grêmio","Grêmio","RCB",34,3e+06,"2027-06-30",3,249,1,0.39,0,0,11.57,71.88,"Paraguay","Paraguay","direito",189,88,"sim",8.67,6.14,88.24,2.17,66.67,0,0,0,3.25,4.43,0,0,0,0,0,0.72,0.36,1,0.36,0.14,0,0,1,0.36,100,100,0,0.36,0,0,0,0.36,0,0,0.36,100,1.08,33.33,0.72,1.45,0,40.48,0,1.08,60.72,80.36,29.28,70.37,2.89,100,23.86,92.42,53.13,85.03,7.23,50,20.16,35.35,0,0.36,0,0,0,0,0,7.95,68.18,0.72,0,0,0,0,0,12.65,62.86,0,NA,0,NA,0,0,0,0,NA,NA,2.89,NA,NA,0,0,0,0,0,0
"Rômulo","Sporting CP II","Atlético Mineiro","RCB, RCMF",21,0,"2027-12-31",3,242,0,0,0,0,12.27,42.42,"Brazil","Brazil","direito",182,79,"sim",5.58,5.21,42.86,4.09,54.55,0,0,0.74,3.35,5.63,1.86,1,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0.74,0,2.23,16.67,0,0,0.37,23.06,0.37,0,32.73,88.64,10.04,81.48,4.46,91.67,14.5,94.87,28.64,92.21,3.72,70,18.89,38.85,0,0,0,0,0,0,0,4.83,69.23,0.37,0,0,0,0,0,4.09,81.82,0,NA,0,NA,0,0,0,0,NA,NA,3.35,NA,NA,0,0,0,0,0,0
"Cipriano","Juventude","Juventude","LCB",23,0,"2028-05-31",3,219,0,0,0,0,6.99,58.82,"Brazil","Brazil","esquerdo",197,85,"sim",5.75,2.88,42.86,2.88,57.14,0,0,0.41,4.52,5.16,1.23,1,0.41,1,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,15.62,0.41,0,27.12,81.82,10.27,56,3.29,100,11.92,96.55,23.84,84.48,3.29,62.5,21.78,29.25,0,0,0,0,0,0,0,2.05,40,0.41,0,0.41,0,0.41,0,4.93,50,0,NA,0,NA,0,0,0,0,NA,NA,0.82,NA,NA,0,0,0,0,0,0
"Victor Luís","Vasco da Gama","Vasco da Gama","LB, LCB",32,5e+05,NA,6,219,0,0.09,0,0.17,15.21,56.76,"Brazil","Brazil, Lithuania","esquerdo",177,81,"sim",6.58,6.16,60,3.7,88.89,0,0,0.82,2.88,4.67,1.64,0,0,0,0,2.47,0,0,0,0.04,0,0,1,0.41,100,0,0,2.88,57.14,2.88,57.14,0,0,0.41,0.82,50,3.7,33.33,0.82,0.82,0,41.92,0.82,1.64,52.19,89.76,19.73,85.42,9.45,91.3,14.38,88.57,46.44,96.46,2.88,14.29,18.05,16.65,0.07,0.82,0,0,0,0,0,4.93,91.67,2.88,57.14,0,0,0,1.64,6.58,87.5,0,NA,0,NA,0,0,0,0,NA,NA,2.05,NA,NA,0.41,0,0,0.41,0,0
"Davi Schuindt","Fluminense","Fluminense","RCB",21,0,"2026-12-31",2,207,0,0.15,0,0,10,52.17,"Brazil","Brazil",NA,0,0,"sim",6.96,3.91,66.67,3.48,37.5,0,0,0.43,4.35,5.08,0.43,0,0,0,0,0.43,0,0,0,0.06,0,0,1,0.43,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,23.48,0.43,0.87,34.78,83.75,15.22,74.29,1.3,100,16.09,94.59,26.09,93.33,8.7,55,24.87,39.81,0,0,0,0,0,0,0,2.17,20,0.43,0,0.43,0,0,0,7.83,50,0,NA,0,NA,0,0,0,0,NA,NA,1.3,NA,NA,0,0,0,0,0,0
"Lucas Oliveira","Vasco da Gama","Vasco da Gama","RCB, LCB",29,2e+06,"2025-12-31",7,202,0,0,0,0,14.7,57.58,"Brazil","Brazil","direito",187,83,"sim",9.8,7.13,68.75,4.46,60,0,0,0.45,4.9,6.11,1.34,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0.89,0,31.19,0.89,0,40.99,89.13,15.59,77.14,1.34,100,18.71,95.24,37.43,92.86,3.56,50,16.6,15.06,0,0,0,0,0,0,0,1.78,75,0,0,0,0,0,0,5.35,33.33,0,NA,0,NA,0,0,0,0,NA,NA,0.89,NA,NA,0,0,0,0,0,0
"M. Gamarra","Cruzeiro","Cruzeiro","LCB",25,2e+06,"2027-12-31",2,177,0,0.05,0,0,11.19,68.18,"Paraguay","Paraguay","esquerdo",183,79,"sim",9.15,7.12,64.29,2.54,80,0,0,1.02,4.58,5.51,1.02,0,0,0,0,1.02,0,0,0,0.02,0,0,1,0.51,0,0,0,0,0,0,0,0,0,0,1.02,100,1.53,66.67,0.51,0,0,20.85,1.02,0,39.66,71.79,25.42,58,2.54,100,9.15,100,28.47,83.93,11.19,40.91,24.25,38.17,0,0,0,0,0,0,0,8.14,50,0.51,0,0.51,0,0,0,10.17,55,0,NA,0,NA,0,0,0,0,NA,NA,2.03,NA,NA,0,0,0,0,0,0
"Gabriel Bahia","Botafogo","Botafogo","RCB",27,0,"2027-03-31",3,162,0,0.05,0,0,14.44,65.38,"Brazil","Brazil","direito",0,0,"sim",7.22,4.44,87.5,3.33,83.33,0.56,0.86,1.11,2.78,4.29,0.56,0,0,0,0,0.56,0,0,0,0.03,0,0,2,1.11,0,0,0,0,0,0,0,0,0,0,0.56,100,4.44,25,0,0.56,0,42.22,0,0.56,53.89,88.66,24.44,84.09,2.22,75,18.89,97.06,48.89,94.32,5,33.33,20.06,25.4,0,0,0,0,0,0,0,4.44,75,0,0,0,0,0,0,8.89,62.5,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0
"João Marcelo","Cruzeiro","Cruzeiro","LCB, RCB",25,1500000,"2028-12-31",3,161,0,0,0,0.06,10.62,57.89,"Brazil","Brazil","direito",190,84,"sim",9.5,5.03,55.56,5.59,60,0,0,1.12,6.71,10,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1.68,0,21.24,0,0.56,32.98,89.83,12.3,81.82,0.56,100,16.77,93.33,30.19,92.59,2.8,60,18.31,9.55,0.04,0.56,0.56,0,0,0,0.56,3.35,66.67,0,0,0.56,0,0.56,0,5.59,70,0,NA,0,NA,0,0,0,0,NA,NA,0.56,NA,NA,0,0,0,0,0,0
"Luiz Otávio","Mirassol","Mirassol","LCB, CB",33,9e+05,NA,4,148,0,0,0,0,12.16,65,"Brazil","Brazil","direito",194,85,"sim",5.47,2.43,25,8.51,78.57,0,0,1.82,4.86,9.23,1.22,1,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0.61,0,32.84,0.61,0,46.22,92.11,20.07,84.85,1.22,100,20.07,100,42.57,91.43,3.65,100,14.71,23.65,0,0,0,0,0,0,0,3.65,100,0,0,0,0,0,0,6.69,63.64,0,NA,0,NA,0,0,0,0,NA,NA,1.22,NA,NA,0,0,0,0,0,0
"João Victor","Flamengo U20","Flamengo","RCB",18,0,"2029-12-31",3,117,0,0,0,0,10,46.15,"Brazil","Brazil","unknown",0,0,"sim",6.92,6.92,44.44,0,0,0,0,0.77,3.85,7.89,2.31,1,0.77,0,0,0,0,0,0,0,0,0,1,0.77,0,0,0,0,0,0,0,0,0,0,0,0,1.54,50,0,0.77,0,53.85,0.77,0.77,68.46,93.26,21.54,92.86,7.69,90,26.92,94.29,63.08,96.34,5.38,57.14,18.48,35.1,0,0,0,0,0,0,0,10,84.62,1.54,0,0,0,0.77,0,8.46,81.82,0,NA,0,NA,0,0,0,0,NA,NA,3.85,NA,NA,0,0,0,0,0,0
"Frederico","Bahia U20","Bahia","RCB",19,0,NA,1,102,0,0,0,0,11.47,53.85,"Brazil","Brazil","unknown",0,0,"sim",6.18,7.06,62.5,2.65,33.33,0,0,0,1.76,3.33,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,50,0,2.65,0,38.82,0,0.88,52.94,91.67,16.76,84.21,8.82,100,22.06,96,49.41,92.86,3.53,75,18.35,36.29,0,0,0,0,0,0,0,1.76,100,0,0,0,0,0,0,7.94,66.67,0,NA,0,NA,0,0,0,0,NA,NA,6.18,NA,NA,0,0,0,0,0,0
"Natã","Juventude","Juventude","LCB, LCMF",24,0,"2027-12-31",2,96,0,0,0,0,5.63,33.33,"Brazil","Brazil","direito",182,76,"sim",10.31,4.69,40,0.94,0,0,0,0,8.44,8.44,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0.94,0,31.88,82.35,10.31,63.64,0.94,100,17.81,89.47,29.06,87.1,2.81,33.33,21.1,39.16,0,0,0,0,0,0,0,3.75,100,0,0,0,0,0,0,7.5,50,0,NA,0,NA,0,0,0,0,NA,NA,0.94,NA,NA,0,0,0,0,0,0
"Cleiton","Flamengo","Flamengo","CB, LCB",22,4e+05,"2025-12-31",2,94,0,0,0,0,11.49,66.67,"Brazil","Brazil","esquerdo",194,78,"sim",11.49,5.74,66.67,0.96,100,0,0,1.91,7.66,9.23,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,75,0,0.96,0,38.3,0,1.91,47.87,86,19.15,65,2.87,100,19.15,100,43.09,91.11,4.79,40,22.78,38.89,0,0,0,0,0,0,0,6.7,85.71,0,0,0,0,0,0,10.53,63.64,0,NA,0,NA,0,0,0,0,NA,NA,0.96,NA,NA,0,0,0,0,0,0
"S. Palacios","Red Bull Bragantino U20","Red Bull Bragantino","RCB, LCB",20,0,"2026-09-02",2,82,0,0,0,0,9.88,33.33,"Colombia","Colombia","direito",195,85,"sim",7.68,5.49,40,2.2,0,1.1,1.67,0,4.39,6.67,3.29,2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.54,0,1.1,40.61,89.19,17.56,75,4.39,100,14.27,100,32.93,93.33,7.68,71.43,20.38,27.27,0,0,0,0,0,0,0,4.39,100,0,0,0,0,0,0,9.88,66.67,0,NA,0,NA,0,0,0,0,NA,NA,4.39,NA,NA,0,0,0,0,0,0
"Viery","Grêmio U20","Grêmio","LB, LCB",20,0,"2027-06-30",3,67,0,0,0,0,21.49,56.25,"Brazil","Brazil","esquerdo",187,85,"sim",20.15,10.75,75,2.69,0,0,0,2.69,12.09,14.21,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0,0,0,0,20.15,0,0,38.96,82.76,21.49,75,4.03,66.67,10.75,100,34.93,80.77,4.03,100,12.81,11.72,0,0,0,0,0,0,0,5.37,75,0,0,1.34,100,0,0,9.4,57.14,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0
"Danilo Barbosa","Al Ula","Botafogo","LCB, LCMF",29,2500000,NA,3,60,0,0.05,0,0,15,30,"Brazil","Brazil","direito",183,74,"sim",9,3,50,4.5,33.33,1.5,2,1.5,6,8,1.5,1,1.5,0,0,3,0,0,0,0.08,0,0,1,1.5,100,0,0,0,0,0,0,0,0,0,3,50,3,50,0,1.5,0,13.5,0,0,19.5,100,9,100,0,0,9,100,18,100,1.5,100,14.9,14.21,0,0,0,0,0,0,0,1.5,100,0,0,0,0,0,0,4.5,100,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0
"Rodrigo Ely","Grêmio","Grêmio","RCB",31,3e+06,"2025-12-31",2,47,0,0,0,0,22.98,50,"Brazil","Brazil, Italy","direito",191,91,"sim",11.49,11.49,83.33,9.57,20,0,0,1.91,1.91,1.67,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0,26.81,71.43,13.4,57.14,1.91,100,9.57,80,21.06,90.91,5.74,0,24.62,47.02,0,0,0,0,0,0,0,5.74,33.33,0,0,0,0,0,0,5.74,66.67,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0
"Riquelme","Sport Recife U20","Sport Recife","RCB",18,0,NA,2,28,0,0,0,0,NA,NA,"Brazil","Brazil","unknown",0,0,"sim",NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,1,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.75,14.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Naves","Alverca","Palmeiras","RCB",23,0,"2028-12-31",1,25,0,0,0,0,NA,NA,"Brazil","Brazil","direito",184,78,"sim",NA,NA,NA,NA,NA,NA,0,NA,NA,10,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.74,45.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
